person,allNames,institution,ULAN_ID,VIAF_ID,WIKIDATA_ID,GND_ID,group_type
,"Gebhard, Jacob | Gebhard, Jakob | Gebhard, Johann Jakob | Gebhardt, Jakob | Jakob Gebhard",midas,,121887186,,,VIAF
,"Ambrogio Baruffaldi | Baruffaldi, Ambrogio",midas,,1219145857083422921697,,,VIAF
,Giovanni Jacopo da Brescia | Giovanni Jacopo da Brescia,midas,,122147106,,,VIAF
,"Grosse, Jürgen | Indiano | Jürgen Grosse | Jürgen Große",midas,,122243966,,,VIAF
,"Bartholomäus Maton | Maton, Bartholomeus | Maton, Bartholomäus | Matton, Bartholomäus",midas,,122299906,,,VIAF
,"Rang-Babut, Louise",frick,,122352204,,,VIAF
,"Johann Wilhelm Vetter | Vetter, Johann Wilhelm",midas,,122360007,,,VIAF
,"Johannes Weydt | Weid, Johannes | Weydt, Johannes",midas,,122752915,,,VIAF
,"Poggini, Zanobi | Zanobi Poggini",midas,,1230155105807976320005,,,VIAF
,Unknown / Anonymous,midas,,,,123088798,GND
,"Bohumil Huebschmann | Hypman, Bohumil | Hübschmann, Bohumil",midas,,1240152636055620050124,,,VIAF
,"Bassaglia, Pietro | Pietro Bassaglia",midas,,124152636142020051958,,,VIAF
,Unknown / Anonymous,midas,,,,124384072,GND
,Unknown / Anonymous,midas,,,,124487459,GND
,"Colonna da Tivoli, Giovanni | Giovanni Colonna da Tivoli",midas,,1247145857099022922071,,,VIAF
,Lorenzo da Pelago,midas,,125084395,,,VIAF
,Unknown / Anonymous,midas,,,,125102062,GND
,"Ludwig Riffelmacher | Riffelmacher, Ludwig",midas,,1256153239456129450002,,,VIAF
,"Dörte Michaelis | Michaelis, Dörte",midas,,126254974,,,VIAF
,"Johann Georg Weber | Weber, Johann",midas,,12709479,,,VIAF
,"Geissler, Karl Gottfried | Karl Gottfried Geissler",midas,,127145003781561341155,,,VIAF
,"Jacobus de La Fontaine | La Fontaine, Jacobus de | La Fontaine, Jacques de",midas,,12725192,,,VIAF
,"Heinrich Jäger | Jäger, Heinrich",frick,,12754153,,,VIAF
,"Gautrait, Lucien | Lucien Gautrait",midas,,1281158675955227500001,,,VIAF
,"Adolf Günther | Günther, Adolf | Günther, Adolf (1840)",midas,,128269664,,,VIAF
,"Ruff, Walter | Walter Ruff",midas,,1289159400285919620001,,,VIAF
,"Graaf, Johann Michael | Graf, Johann Michael | Graff, Johann Michael | Johann Michael Graff | Kraff, Johann Michael",midas,,129144782948996879810,,,VIAF
,Lorenzo | Lorenzo di Tebaldo,midas,,130942846,,,VIAF
,"Herbert Traue | Traue, Herbert",midas,,13100387,,,VIAF
,"Barbiani, Giovanni | Giovanni Barbiani",midas,,13115621,,,VIAF
,"Rümpler, Wilhelm | Wilhelm Rümpler",midas,,13150868080622071620,,,VIAF
,"Johow, Wilhelm | Wilhelm Johow",midas,,13162853,,,VIAF
,"Bader, Anselm | Bader, Anselmus | Baeder, Angela Martins",midas,,13164476169025911682,,,VIAF
,"Anton Pötschnik | Pötschnik, Anton | Pöttschnickh, Johann Anton",midas,,13170258,,,VIAF
,Unknown / Anonymous,midas,,,,132041685,GND
,"Bardi, Luigi | Luigi Bardi",midas,,13204599,,,VIAF
,"Gaetano Sacco | Sacco, Gaetano",midas,,13208453,,,VIAF
,Meister der Madonna in S. Michele in Crevole | Meister der Madonna von Città di Castello | Meister von Città di Castello | Meister von Città di Castello,midas,,13233936,,,VIAF
,Unknown / Anonymous,midas,,,,133273717,GND
,"Giuseppe Ravegnani | Ravegnani, Giuseppe",midas,,133297851,,,VIAF
,"Doerbecker, Otto | Dörbecker, Otto | Otto Doerbecker",midas,,13341859,,,VIAF
,"Johann Ruez | Ruez, Johann",midas,,134456347,,,VIAF
,Tuccio | Tuccio d'Andria,zeri,,13451653,,,VIAF
,"Ghersi, Luciano | Luciano Ghersi",midas,,1356154329449926970009,,,VIAF
,Unknown / Anonymous,midas,,,,136124402,GND
,"Ried, Wolff | Riet, Wolffgang | Rieth, Wolf | Wolf Rieth",midas,,136145542430496640225,,,VIAF
,"Reim, Otto",midas,,1363166007120675590000,,,VIAF
,Unknown / Anonymous,midas,,,,136580823,GND
,Unknown / Anonymous,midas,,,,137046294,GND
,"Hollmann, Carl | Hollmann, Karl",midas,,1373170292138777690005,,,VIAF
,Unknown / Anonymous,midas,,,,137637144,GND
,"Buglioni, Santi | Santi Buglioni",frick,,13770712,,,VIAF
,Unknown / Anonymous,midas,,,,137738196,GND
,Unknown / Anonymous,midas,,,,137766653,GND
,"Giov. Bassano Lupi | Lupi Giovanni Bassiano | Lupi, Giov. Bassano",midas | zeri,,137966547,,,VIAF
,Unknown / Anonymous,midas,,,,138025258,GND
,"Bachelier, Charles Claude | Charles Claude Bachelier",midas,,138151246595544132273,,,VIAF
,"Funk, Johann Martin | Funk, Martin",midas,,1384167504509293090009,,,VIAF
,Unknown / Anonymous,midas,,,,138790590,GND
,Unknown / Anonymous,midas,,,,139188541,GND
,Unknown / Anonymous,midas,,,,139265635,GND
,Unknown / Anonymous,midas,,,,139331352,GND
,Unknown / Anonymous,midas,,,,139386661,GND
,"Löscher, Johann Georg | Löscher, Johann",midas,,1395168850978267620000,,,VIAF
,"Decio, Giovanni Giacomo | Giovanni Giacomo Decio",midas,,139822085,,,VIAF
,Unknown / Anonymous,midas,,,,140413979,GND
,Unknown / Anonymous,midas,,,,140510001,GND
,"Cristadoro, Matteo | Matteo Cristadoro",midas,,14144897957350201614,,,VIAF
,"Baden, Hans von | Baden, Meister Hans von | Hans | Hans von Baden (1492)",midas,,141476607,,,VIAF
,"Martinucci, Vincenzo | Vincenzo Martinucci",midas,,14149841774502841020,,,VIAF
,Unknown / Anonymous,midas,,,,141538147,GND
,"Carlo Patacchia | Patacchia, Carlo | Petacchia, Carlo",midas,,14156073742553861754,,,VIAF
,"Georg Stietz | Stietz, Georg | Stietz, George",midas,,14159233825903370417,,,VIAF
,"Bajerna, Giovanni | Bojerna, Giovanni | Johannes de Paerni",midas,,1422167931754729520002,,,VIAF
,Unknown / Anonymous,midas,,,,142649392,GND
,"Contestabile, Filippo | Contestabilis, Filippo | Filippo Contestabile",midas,,1438145856965022920553,,,VIAF
,Unknown / Anonymous,midas,,,,143905406,GND
,"Montoliu, Valentín | Valentín Montoliu",frick,,14623415,,,VIAF
,"Peter Pictorius | Pictorius, Peter (der Jüngere)",midas,,1485145856955022920547,,,VIAF
,"Hanken, Willy | Willy Hanken",midas,,149144782956704908811,,,VIAF
,"Antonio Manelli | Manelli, Antonio | Mannelli, Antonio | Tony Manelli",midas,,149555966,,,VIAF
,"Bongiovanni Filippo da Lodi Lupi | Lupi, Bongiovanni Filippo da Lodi",midas,,149683770,,,VIAF
,"Gormon, Jean de (1537) | Gormont, Jean de (1537) | Gouremon, Jean de (1537) | Gourmon, Jean de (1537) | Gourmont, Jean de (1537) | Gourmont, Jean de (2) | Groumont, Jean de (1537) | Jean de Gourmont",midas,,15045325,,,VIAF
,"Eseler, Konrad | Konrad Eseler | Konrad von Hochheim | Konrad von Mosbach",midas,,150854584,,,VIAF
,"Bassi, Raimondo | Raimondo Bassi",midas,,15155284728387061301,,,VIAF
,"Cornienti, Giuseppe | Giuseppe Cornienti",midas,,15160725535710180046,,,VIAF
,"Freytag, Johann | Johann Heinrich Freytag",midas,,15203516,,,VIAF
,"Fanelli, Pier Simone | Pier Simone Fanelli",midas,,152041256,,,VIAF
,Unknown / Anonymous,midas,,,,152178236,GND
,"Marabitti, Pietro | Pietro Marabitti",midas,,1532153596623151900002,,,VIAF
,Unknown / Anonymous,midas,,,,154334499,GND
,"Giuseppe Tiburzio Vergelli | Giuseppe Tiburzio. Vergelli | Vergelli, Giuseppe Tiburzio",midas,,155147663093560551835,,,VIAF
,"Jacob Stumpf | Stumpf, Jacob | Stumpf, Jakob",midas,,15544353,,,VIAF
,Unknown / Anonymous,midas,,,,155508245,GND
,"Karl Schlockermann | Schlockermann, Karl",midas,,15562215,,,VIAF
,"Hepp, Joseph | Joseph Hepp",midas,,15612678,,,VIAF
,Maestro | Maestro di Offida,midas,,15652495,,,VIAF
,"Castellani, Giuseppe | Castellani, Giuseppe (1812) | Giuseppe Castellani",midas,,15659142,,,VIAF
,"Bonaiuti, Raffaello | Raffaello Bonaiuti",midas,,157147543785153192096,,,VIAF
,"Knoch, Reinhold",midas,,1577169929738369380009,,,VIAF
,"Hedi Seeger-Müller | Seeger, Hedi | Seeger-Müller, Hedi",midas,,15777253,,,VIAF
,"August von Siegen | Siegen, August | Siegen, August von",midas,,158155832957433490002,,,VIAF
,"Carbonetti, Domenico | Carbonetti, Dominico | Domenico Carbonetti",midas,,15824299,,,VIAF
,"Bachl, Heinrich | Heinrich Bachl",midas,,15861134,,,VIAF
,Piergentile da Matelica | Piergentile da Matelica,midas,,15864211,,,VIAF
,"Harry James Powell | Powell, Harry",midas,,15865544,,,VIAF
,"Bianchi, Jacopo di Giovanni | Jacopo di Giovanni Bianchi",midas,,159033476,,,VIAF
,"Antonello Freri | Freri, Antonello",midas,,15973373,,,VIAF
,"Geitner, Joseph | Joseph Geitner",midas,,159951303,,,VIAF
,"Loesen, Rudolph | Rudolph Loesen",midas,,159991790,,,VIAF
,"Lochner, Miquel | Miquel Lochner",midas,,160031380,,,VIAF
,"João de Mascarenhas | Mascarenhas, João de",midas,,160090463,,,VIAF
,Jan van Halderen | Jan van Haldern | Jan van Hulleren | Jan van Halderen,midas,,160171076,,,VIAF
,Andrea | Andrea di Neri | Andrea di Nerio,midas,,160214211,,,VIAF
,"De Saive, François | Francisco de Namur | François LeSaive | LeSaive, François | Saive, Frans | Saive, Frans le | Saive, François | Saive, François de | Saive, François le | Saiver, Frans | Savio, Francisco | Savius, Frans | Sayve, François",midas,,1605148947801154950008,,,VIAF
,Pietro Nelli,midas,,160549145,,,VIAF
,"Bianchini, Roberto | Roberto Bianchini",midas,,160627151,,,VIAF
,"Antonelli, Giacomo",midas,,1609165271364910690008,,,VIAF
,Pasquali Vincenzo,zeri,,161019675,,,VIAF
,"Lorenzo Petroncelli | Petroncelli, Lorenzo",midas,,16151110795837062968,,,VIAF
,"Giandomenico Angelini | Perugino, Giovanni Domenico",midas,,161586899,,,VIAF
